※入力規則,入力用_アニメ項目マスタの子レコード（シリーズ）のIDを記載,,,,,,劇中歌があれば記載,劇中歌があれば記載,,"特記事項：
スナックバス江（エピソードごとにED異なる）"
,44462,1,ボーニャン（水樹奈々）,おばけずかんのうた 〜いつでも どこでも〜,,,水樹奈々,おばけずかんのうた,,
,44646,1,OxT,Clattanoia,MYTH & ROID,L.L.L.,,,,
,44660,1,OxT,GO CRY GO,MYTH & ROID,HYDRA,,,,
,44674,1,MYTH & ROID,VORACITY,OxT,Silent Solitude,,,,
,44688,1,OxT,HOLLOW HUNGER,前島麻由,No Man’s Dawn,,,,
,44702,1,岩崎太整,Seeking the Truth feat. YAHZARAH,岩崎太整,Ancient Creations feat. Shing02,,,,
,44711,1,タケヤキ翔,未来のヒーローたちへ,渋谷ハル,かえりみちの色,,,,
,44725,1,末廣健一郎,a hollow shadow,ReoNa,ないない,萩森英明,私の完璧な世界,,
,44739,1,ReoNa,シャル・ウィ・ダンス？,ClariS,Masquerade,,,,
,44631,1,ClariS,ALIVE,さユり,花の塔,,,,
,44753,1,リコ（富田美憂）、レグ（伊瀬茉莉也）,Deep in Abyss,リコ（富田美憂）、レグ（伊瀬茉莉也）、ナナチ（井澤詩織）,旅の左手、最果ての右手,,,,
,44767,1,安月名莉子,かたち,MYTH & ROID,Endless Embrace,Arnór Dan,GRAVITY,,
,44781,1,DIALOGUE＋,デネブとスピカ,harmoe,ふたりピノキオ,,,,
,44795,1,前島麻由,story,井口裕香,一番星ソノリティ,メイベル（悠木碧）,みっつの祠の民謡,,
,44810,1,Creepy Nuts,堕天,Creepy Nuts,よふかしのうた,Creepy Nuts,ロスタイム,,
,44838,1,米津玄師,Plazma,,,,,,
,44851,1,邪神★ガールズ,あの娘にドロップキック,三浦祐太朗,Home Sweet Home!,,,,
,44864,1,halca,時としてバイオレンス,ZAMB,Love Satisfaction,,,,
,44877,1,halca,あれこれドラスティック feat.鈴木愛奈,,花譜と可不,流線形メーデー,,,
,44891,1,halca,誰彼スクランブル,ナナヲアカリ,恋愛脳,,,,
,44906,1,石原夏織,夢想的クロニクル,Little Black Dress,白雨,,,,
,44920,1,Big Gadgets ft.上木彩矢 w TAKUYA,Private Eye,松岡充,罪と罰とアングラ,上木彩矢 w TAKUYA,W-G-X 〜W Goes Next〜,,
,44934,1,シャノワール（和氣あず未、楠木ともり、富田美憂、中島由貴、鬼頭明里）,Tin Toy Melody,シャノワール（和氣あず未、楠木ともり、富田美憂、中島由貴、鬼頭明里）,想歌灯,,,,
,44948,1,Tia,Deal with the devil,D-selections,LAYon-theLINE,,,,
,44961,1,JUNNA,コノユビトマレ,D-selections,AlegriA,,,,
,44974,1,石川智久,ソノ乙女ム双,i☆Ris,Queens Bluff,,,,
,44982,1,≠ME,す、好きじゃない！,堀江由衣,秘密の庭のふたり,,,,
,45009,1,Non Stop Rabbit,無自覚の天才,スラちゃんず△（遠野ひかる、菅野真衣、三川華月、久遠エリサ、大森日雅、花井美春）,ごはんだヨッ！ダダダダン!!」,,,,
,45023,1,ハナウタ（第五寮）［アルスノトリア（久野美咲）、メル（花井美春）、小アルベール（富田美憂）、ピカトリクス（幸村恵理）、アブラメリン（松井恵理子）］,はじまりへと続く場所,cluppo,With you,,,,
,45037,1,西川貴教,一番光れ!-ブッチギレ-,自象存在name-less,断罪デモクラシー,,,,
,45051,1,幸祜,TIME,理芽,チクタクボーイ,,,,
,45081,1,Void_Chords feat. L,Beyond Selves,早見沙織,Awake,,,,
,45095,1,花澤香菜,駆け引きはポーカーフェイス,八乙女うるし（中村カンナ）,50センチ,,,,
,45109,1,宮川愛李,アオレイド,all at once,RIVALS,,,,
,45124,1,,ドールハウスへ行こう,,,,,,
,45172,1,,ドールハウスへ行こう,,,,,,
,45198,1,竹内まりや,君の居場所 (Have a Good Time Here),,,,,,
,45221,1,レトベア(unknown Vo:10fu),頭ん中DEAD END,鈴木みのり,Wherever,,,,
,45235,1,ロクサーヌ（CV:三上枝織）,Oath,加賀道夫（CV:八代拓）、アラン（CV:三宅健太）,紳士の取引60万ナール,,,,
,45235,1,,,森羅万象,君と世界の終わりに,,,,
,45346,1,ZINGS,Let's ZING!,ZINGS,キミキラ,ZINGS,恋のBANG,,
,45322,1,くるり,ポケットの中,,,,,,
,45358,1,TINGS,ワンダー・スターター,TINGS,パレットガールズ,螢（大橋彩香）,Sweet Surrender,,
,45372,1,Suara,人なんだ,Suara,百日草,Suara,ヌエドリ,,
,45372,2,Suara,人なんだ,Suara,百日草,Suara,天かける星,,
,45414,1,クラムボン,"1,000,000,000,000,000,000,000,000 LOVE",Hack'ｎBerry,あいむいんらぶ,,,,
,45436,1,石原夏織,Abracada-Boo,Mili,Mortal With You,,,,
,45449,1,小松里賀,my sweet heart,東京ミュウミュウ,恋はア・ラ・モード,,,,
,45449,2,小松里賀,my sweet heart,東京ミュウミュウ,恋はア・ラ・モード,碧川れたす（佐久間紅美）,海を見ていた,,
,45449,3,小松里賀,my sweet heart,東京ミュウミュウ,恋はア・ラ・モード,小松里賀,グライダー,,
,45449,4,小松里賀,my sweet heart,東京ミュウミュウ,恋はア・ラ・モード,黄歩鈴（望月久代）,太陽なワタシ,,
,45331,1,くるり,SAMPO,,,,,,
,45502,1,藤澤ノリマサ,未来の僕らへ,網球男児,ENJOY,,,,
,45524,1,YOSHIKI EZAKI × Bleecker Chrome,I can fly,テニプリアーティスターズ,Dear Friend,,,,
,45539,1,てっぺんっオールスターズ,てっぺんっ天国 〜TOP OF THE LAUGH!!!〜,May'n,あはっててっぺんっ,ヤングワイワイ,ハグ・ユア・レッグ,,
,45561,1,ルミナスウィッチーズ,WONDERFUL WORLD,ルミナスウィッチーズ,わたしとみんなのうた,ルミナスウィッチーズ,永久の寄す処,,
,45575,1,岡咲美保,インフィニット,葉山陽和（野口瑠璃子）、小鷹咲希（岡咲美保）,SUNRISE (Ver.First 2),,,,
,45644,1,眉村ちあき,マルコッパ,小松未可子,なんだなんなんだ！,,,,
,45700,1,アイリ(CV.天﨑滉平)・ノワ(CV.興津和幸),繋いだ手とぬくもりと,,,,,,
,45711,1,有明ハナビ花（和氣あず未）,カグヤ,有明ハナビ花（和氣あず未）、高輪バーサス戦（上坂すみれ）、日本橋サンダー雷（M・A・O）,パラレルラルラ,,,,
,30411,1,ポルカドットスティングレイ,あのね、,pachae,ふたりじめ,,,,
,30967,1,清野研太郎,異世界協奏曲,otonari,ツヨガールフレンド,,,,
,30520,1,TRUE,Unsung ballad,Arika,inclusion,,,,
,30286,1,SHISHAMO,自分革命,さとう。,朗朗,,,,
,30355,1,&TEAM,Magic Hour,&TEAM,Wonderful World,,,,
,30602,1,吉澤嘉代子,たそかれ,りぶ,Twilight,,,,
,30200,1,サイダーガール,Choose!!!,グレイス＝憲三郎（CV:井上和彦、CV:M・A・O）,マツケンサンバⅡ,,,,
,30186,1,ASTERISM,Crescendo,22/7(ナナブンノニジュウニ),ロックは死なない,,,,
,30383,1,花冷え。,おいしいサバイバー,miwa,リアル,,,,
,30533,1,Ave Mujica,KiLLKiSS,Ave Mujica,"Georgette Me, Georgette You",,,,
,30397,1,#NAME?,恋人以上、好き未満,桜森朱音（CV.矢野妃菜喜）＆石倉陽鞠（CV.鈴代紗弓）＆北条糸青（CV.稗田寧々）,スキキライも追い越して,,,,
,30507,1,310,パーフェクトデイ,ナナヲアカリ,明日の私に幸あれ,,,,
,30588,1,GARNiDELiA,罪人,立花日菜,Stella,,,,
,30692,1,オーイシマサヨシ,主人公になろう！ feat.鈴木愛理,矢作萌夏,水平線,,,,
,30118,1,Vaundy,走れSAKAMOTO,Conton Candy,普通,,,,
,30144,1,LiSA,ReawakeR (feat. Felix of Stray Kids),TK from 凛として時雨,UN-APEX,,,,
,30547,1,REAL AKIBA BOYZ loves 中川翔子,Neet In Jam,出浦白津莉（CV.矢野妃菜喜）,にーとぴあ。,,,,
,30560,1,北川理恵,Dokkin◇魔法つかいプリキュア！！Part３～MIRAI DAYS～,キュアミラクル（CV:高橋 李依）、キュアフェリーチェ（CV:早見 沙織）、キュアマジカル（CV:堀江 由衣）,キセキラリンク,,,,
,30493,1,恋太郎ファミリー,ありがと、大好きになってくれて,原賀胡桃(CV.進藤あまね)、銘戸芽衣(CV.三森すずこ)、須藤 育(CV.高橋李依)、美杉美々美(CV.Lynn)、華暮愛々(CV.高尾奏音),Unmei?,,,,
,30313,1,遠藤正明,キン肉マン英雄,キン肉マン（CV:宮野真守）,,,,,
,37338,1,ずっと真夜中でいいのに。,微熱魔,shallm,トワイライト,,,,
,31538,1,坂本真綾,Drops,手嶌葵,花咲く道で,,,,
,31660,1,bokula.,ライトメイカー,,,,,,
,30660,1,YOASOBI,Watch me!,,,,,,
,31441,1,SixTONES,,シャイトープ,It‘s myself,,,,
,30646,1,女王蜂,強火,,,,,,
,31510,1,,,FLOW,Alright!!!,,,,
,37366,1,りりあ。,愛とか。,,,,,,
,41601,1,ulma sound junction,AXCLUSION,Nowlu,在処,,,,
,37380,1,水曜日のカンパネラ,サマータイムゴースト,mekakushe,恋のレトロニム,,,,
,32454,1,Cö shu Nie feat. HYDE,MAISIE,,,,,,
,33394,1,LEEVELLES,Brand New Day,Soala,Dead or Love,,,,
,31400,1,仲村宗悟,イルミネイト,緒方恵美,セレンディピティ,,,,
,37514,1,BLUE ENCOUNT,BLADE,,,,,,
,41710,1,破天荒夫婦,オモイアイ,Kecori,砂時計,,,,
,37528,1,ひまり (CV.平塚 紗依)＆ひなな (CV.伊駒 ゆりえ),おーぎゅめんと・でいっ!,CHiCO,18:00,,,,
,41668,1,,,BILLY BOO,ラプソディ,,,,
,37746,1,奥井雅美 with ボンジュール鈴木,Baby Baby Baby,古川 慎,Hightail it,,,,
,37759,1,Who-ya Extended,Aufheben,ASCA,MOONWORK,,,,
,37787,1,うえだゆうじ,僕達のギャグマンガ日和,冠徹弥,ハッピーゴーゴーラッキーエンディング,,,,
,37837,1,V.W.P,愛詩,MIYAVI,Find A Way,,,,
,37937,1,yama,GRIDOUT,,,,,,
,31128,1,Kamasi Washington,Vortex,The Boo Radleys,Lazarus,,,,
,31274,1,KALA,KINGSBLOOD,,,,,,
,30885,1,鈴木このみ,アルカテイル,鈴木このみ,Lasting Moment,,,,
,30911,1,小倉 唯,So☆Lucky,大西亜玖璃,イニミニマニモ,,,,
,30939,1,HoneyWorks feat.花譜,彼女は今、迷宮の中。,Sizuk,君の知らないこと,,,,
,31891,1,花澤香菜,やれんの？エンドレス,HoneyWorks feat.ハコニワリリィ,にんころダンス,,,,
,31201,1,,,halca,ウィークエンドロール,,,,
,31593,1,BAND‐MAID,Ready to Rock,Little Glee Monster,夢じゃないならなんなのさ,,,,
,37394,1,内田雄馬,シンギュラリスト,Gran★MyStar（ベートーヴェン・モーツァルト・ショパン・リスト／CV：内田雄馬・伊東健人・安部 瞬・石毛翔弥）,EYOND★CLASSIC,,,,
,41471,1,湘南乃風 feat. 新しい学校のリーダーズ,青春永遠,,,,,,
,45724,1,Suara,夢想歌,河井英里,まどろみの輪廻,,,,
,45724,2,Suara,夢想歌,河井英里,まどろみの輪廻,Suara,キミガタメ,,
,45751,1,Suara,不安定な神様,Suara,ユメカウツツカ,,,,
,45751,2,Suara,天かける星,Suara,星降る空仰ぎ見て,Suara,ヌエドリ,,
,45778,1,Da-iCE,Break out,羽多野 渉,ナニイロ,,,,
,45778,2,花村想太 & Lil' Fang,Break it down,梶原岳人,色違いの糸束,,,,
,28639,1,AliA,セナカアワセ,AYAME（from AliA）,Para Bellum,AYAME（from AliA）,REVERSI,,
